epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.8293972015380859,0.4311436712741852,0.8969155550003052,0.7989876866340637,0.9050132036209106,0.2565058767795563,0.903743326663971,0.9768785834312439
1,0.9012386202812195,0.26325440406799316,0.9408758878707886,0.9320318102836609,0.9089709520339966,0.23145395517349243,0.9940476417541504,0.9653179049491882
2,0.9223781824111938,0.21220014989376068,0.9583637714385986,0.9486623406410217,0.9459102749824524,0.1583724021911621,0.9611111283302307,1.0
3,0.9337737560272217,0.18534624576568604,0.974044680595398,0.9768618941307068,0.9393140077590942,0.15558366477489471,0.9768785834312439,0.9768785834312439
4,0.9314615726470947,0.18852590024471283,0.9703543186187744,0.9703543186187744,0.9525066018104553,0.1317962259054184,0.9824561476707458,0.9710982441902161
5,0.9360858798027039,0.17683903872966766,0.9669540524482727,0.9732465744018555,0.9485487937927246,0.12816378474235535,0.9885057210922241,0.9942196607589722
6,0.9417010545730591,0.15973465144634247,0.9747656583786011,0.977584958076477,0.9432717561721802,0.1552756130695343,0.9941860437393188,0.9884393215179443
7,0.9387283325195312,0.15905265510082245,0.9825834631919861,0.9790310859680176,0.9643799662590027,0.11652354151010513,0.9558011293411255,1.0
8,0.9478117227554321,0.14237332344055176,0.9792412519454956,0.989154040813446,0.9722955226898193,0.11580485850572586,0.9941176176071167,0.9768785834312439
9,0.9532617926597595,0.1326030045747757,0.9868900179862976,0.9797541499137878,0.9709762334823608,0.0964723452925682,0.9884393215179443,0.9884393215179443
10,0.9501238465309143,0.13449862599372864,0.9841498732566833,0.9877078533172607,0.9459102749824524,0.1327187716960907,0.9884393215179443,0.9884393215179443
11,0.9530966281890869,0.13041028380393982,0.9834413528442383,0.9877078533172607,0.9656991958618164,0.09965050220489502,1.0,0.9942196607589722
12,0.9560693502426147,0.12209062278270721,0.9869565367698669,0.9848155975341797,0.9591029286384583,0.1346130520105362,0.9301075339317322,1.0
13,0.9552435874938965,0.127513125538826,0.9771101474761963,0.9877078533172607,0.9656991958618164,0.09985797107219696,0.9941860437393188,0.9884393215179443
14,0.9542526602745056,0.12017299979925156,0.9862318634986877,0.9840925335884094,0.9683377146720886,0.08877535164356232,0.9942196607589722,0.9942196607589722
15,0.9606936573982239,0.10923362523317337,0.9906407594680786,0.9949385523796082,0.9617414474487305,0.0963277518749237,0.9942528605461121,1.0
16,0.9595375657081604,0.11264859884977341,0.9870036244392395,0.9884309768676758,0.9736147522926331,0.08202488720417023,0.9942196607589722,0.9942196607589722
17,0.9587118029594421,0.10825491696596146,0.9927693605422974,0.9927693605422974,0.9709762334823608,0.07761019468307495,0.9941860437393188,0.9884393215179443
18,0.963005781173706,0.10138550400733948,0.9920520186424255,0.9927693605422974,0.9656991958618164,0.09341973066329956,0.9774011373519897,1.0
19,0.9595375657081604,0.10643508285284042,0.9890829920768738,0.9826464056968689,0.960422158241272,0.10416935384273529,0.9664804339408875,1.0
20,0.9582163691520691,0.11650668829679489,0.9856218695640564,0.9913232326507568,0.9630606770515442,0.10069171339273453,1.0,0.9884393215179443
21,0.9615194201469421,0.10123943537473679,0.9884225726127625,0.9877078533172607,0.9841688871383667,0.0667617917060852,0.9942528605461121,1.0
22,0.9679603576660156,0.09373260289430618,0.990620493888855,0.9927693605422974,0.9683377146720886,0.0796605572104454,1.0,0.9942196607589722
23,0.962510347366333,0.09541845321655273,0.9899062514305115,0.9927693605422974,0.9722955226898193,0.08410406857728958,1.0,0.9942196607589722
24,0.9679603576660156,0.0977853387594223,0.9971035718917847,0.9956616163253784,0.9709762334823608,0.09210529923439026,0.9885714054107666,1.0
25,0.9684558510780334,0.08700302243232727,0.9942154884338379,0.9942154884338379,0.9683377146720886,0.08779381960630417,0.9941860437393188,0.9884393215179443
26,0.9651527404785156,0.09459362924098969,0.9906136989593506,0.9920462965965271,0.9762532711029053,0.0701184794306755,1.0,0.9942196607589722
27,0.9664739966392517,0.08647910505533218,0.9920520186424255,0.9927693605422974,0.9749340415000916,0.08042670041322708,0.9942528605461121,1.0
28,0.9646573066711426,0.09234385192394257,0.9934830069541931,0.9920462965965271,0.9749340415000916,0.06562843918800354,1.0,1.0
29,0.9689512848854065,0.08639596402645111,0.9920691847801208,0.9949385523796082,0.9722955226898193,0.0842239186167717,1.0,1.0
