epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.91577208,0.218079537,0.970499218,0.927693427,0.951187313,0.134713322,1,0.982658982
1,0.962675452,0.101901144,0.993483007,0.992046297,0.960422158,0.090562031,0.955801129,1
2,0.971593738,0.08072532,0.991329491,0.992046297,0.976253271,0.077030398,1,1
3,0.974731624,0.071649797,0.997829258,0.997107744,0.980211079,0.073423289,0.994252861,1
4,0.97423619,0.079431005,0.992040515,0.991323233,0.981530368,0.059506498,1,0.994219661
5,0.97638315,0.061959099,0.997830808,0.997830808,0.968337715,0.108735964,1,1
6,0.978695273,0.059621464,0.995667875,0.997107744,0.981530368,0.052496862,1,1
7,0.97819984,0.060142253,0.994211316,0.993492424,0.973614752,0.074632078,1,1
8,0.980511963,0.05468953,0.994945824,0.99638468,0.980211079,0.116671801,1,0.988439322
9,0.982658982,0.045034874,0.998552799,0.997830808,0.97889185,0.052897759,1,0.988439322
10,0.982493818,0.046527307,0.997105658,0.99638468,0.974934042,0.061047588,0.994152069,0.982658982
11,0.98364985,0.039084896,0.9992764,0.998553872,0.976253271,0.075458907,1,1
12,0.982989252,0.051029272,0.994219661,0.994938552,0.951187313,0.136993766,1,1
13,0.982493818,0.053423271,0.99638468,0.99638468,0.981530368,0.051954169,1,0.994219661
14,0.98183322,0.053298991,0.995674133,0.998553872,0.97757256,0.070544727,1,0.988439322
15,0.988769591,0.0309064,1,0.998553872,0.985488117,0.040137328,1,1
16,0.986127138,0.037374455,0.997111917,0.998553872,0.97889185,0.061711561,1,1
17,0.981007457,0.051027622,0.997818172,0.992046297,0.973614752,0.061438873,1,1
18,0.984475613,0.043393921,0.996387303,0.997107744,0.973614752,0.088463165,1,0.994219661
19,0.984475613,0.044587392,0.994223833,0.995661616,0.986807406,0.044697974,1,1
20,0.988934755,0.027679171,0.997830808,0.997830808,0.980211079,0.051742449,1,1
21,0.988604486,0.029864676,0.999277472,1,0.985488117,0.054181118,1,1
22,0.983154416,0.047384929,0.994232178,0.997107744,0.981530368,0.065071762,1,1
23,0.98909992,0.02625862,0.996389866,0.997830808,0.974934042,0.080260485,1,1
24,0.98909992,0.030286143,0.997107744,0.997107744,0.980211079,0.05220766,1,1
25,0.987943828,0.038470637,0.999277472,1,0.976253271,0.056059577,1,0.994219661
26,0.986622632,0.035512794,1,0.999276936,0.97757256,0.085206196,1,1
27,0.990751445,0.027733861,0.996389866,0.997830808,0.981530368,0.061682168,1,1
28,0.991412044,0.024466928,0.999276936,0.999276936,0.982849598,0.057543445,1,1
29,0.988934755,0.027892318,0.998553872,0.998553872,0.969657004,0.07616812,1,1
