epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.902394711971283,0.27667343616485596,0.9625954031944275,0.9117859601974487,0.934036910533905,0.16767466068267822,0.9942196607589722,0.9942196607589722
1,0.9417010545730591,0.17053264379501343,0.9797101616859436,0.977584958076477,0.9564643502235413,0.10997077077627182,1.0,0.9942196607589722
2,0.952105700969696,0.13398835062980652,0.9892008900642395,0.9934924244880676,0.9656991958618164,0.08727625757455826,0.9942528605461121,1.0
3,0.9559041857719421,0.12356646358966827,0.9934688210487366,0.9898771047592163,0.9696570038795471,0.08506559580564499,0.9942528605461121,1.0
4,0.9532617926597595,0.13105157017707825,0.9833574295043945,0.9826464056968689,0.9670184850692749,0.09529729932546616,0.9885714054107666,1.0
5,0.9593724012374878,0.11109040677547455,0.9920116066932678,0.9877078533172607,0.9670184850692749,0.08213198930025101,1.0,1.0
6,0.9618496894836426,0.10108950734138489,0.9942196607589722,0.9949385523796082,0.9749340415000916,0.0798056498169899,1.0,1.0
7,0.9653179049491882,0.09932488203048706,0.9905797243118286,0.9884309768676758,0.9630606770515442,0.13699619472026825,0.9942528605461121,1.0
8,0.9696118831634521,0.08205210417509079,0.9927745461463928,0.9934924244880676,0.9696570038795471,0.08775128424167633,1.0,0.9942196607589722
9,0.9663088321685791,0.08576470613479614,0.9963794350624084,0.9949385523796082,0.9788918495178223,0.06567639857530594,1.0,1.0
10,0.9656482338905334,0.09063645452260971,0.9963873028755188,0.997107744216919,0.9775725603103638,0.0875103622674942,1.0,0.9942196607589722
11,0.9722543358802795,0.0776396170258522,0.9956678748130798,0.997107744216919,0.9749340415000916,0.07596191018819809,1.0,0.9884393215179443
12,0.9712634086608887,0.08218419551849365,0.9913420081138611,0.9934924244880676,0.9775725603103638,0.072517029941082,1.0,1.0
13,0.9730800986289978,0.07920365035533905,0.9949458241462708,0.9963846802711487,0.9762532711029053,0.06933700293302536,1.0,1.0
14,0.9714285731315613,0.06920843571424484,0.9978339076042175,0.9992769360542297,0.9775725603103638,0.06078077480196953,1.0,0.9942196607589722
15,0.9724195003509521,0.07429414987564087,0.9956521987915039,0.9934924244880676,0.9722955226898193,0.07837112993001938,1.0,0.9884393215179443
16,0.9750619530677795,0.067387655377388,0.9963846802711487,0.9963846802711487,0.9749340415000916,0.0680515244603157,1.0,1.0
17,0.9744012951850891,0.07328715175390244,0.9956647157669067,0.9963846802711487,0.9749340415000916,0.06155422329902649,1.0,1.0
18,0.97539222240448,0.06677142530679703,0.9942280054092407,0.9963846802711487,0.9722955226898193,0.06402739137411118,1.0,1.0
19,0.9780346751213074,0.05844973400235176,0.9978323578834534,0.9985538721084595,0.9788918495178223,0.06515004485845566,1.0,1.0
20,0.9816680550575256,0.05343727767467499,0.9963846802711487,0.9963846802711487,0.9722955226898193,0.07364165782928467,0.9942528605461121,1.0
21,0.973410427570343,0.0675448551774025,0.9942154884338379,0.9942154884338379,0.9775725603103638,0.06351865082979202,1.0,1.0
22,0.97819983959198,0.060077983886003494,0.9963820576667786,0.9956616163253784,0.9722955226898193,0.07491535693407059,1.0,1.0
23,0.9801816940307617,0.05010222643613815,0.9971056580543518,0.9963846802711487,0.980211079120636,0.058629415929317474,1.0,1.0
24,0.9742361903190613,0.07898340374231339,0.9800000190734863,0.9920462965965271,0.9828495979309082,0.07020033150911331,1.0,1.0
25,0.9790256023406982,0.053753022104501724,0.9985517859458923,0.997107744216919,0.9828495979309082,0.0608644112944603,1.0,1.0
26,0.9768785834312439,0.06102915480732918,0.9934830069541931,0.9920462965965271,0.9762532711029053,0.06816248595714569,1.0,1.0
27,0.9821634888648987,0.04827822744846344,0.997826099395752,0.9956616163253784,0.9788918495178223,0.06110522150993347,0.9942528605461121,1.0
28,0.9811725616455078,0.053089775145053864,0.9978308081626892,0.9978308081626892,0.9828495979309082,0.0566735714673996,1.0,1.0
29,0.9803467988967896,0.05068740248680115,0.9978308081626892,0.9978308081626892,0.9788918495178223,0.051652587950229645,1.0,1.0
