epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.8824112415313721,0.31962257623672485,0.9488993883132935,0.8727404475212097,0.9379947185516357,0.14320923388004303,0.9710982441902161,0.9710982441902161
1,0.9265069961547852,0.18413926661014557,0.9660404920578003,0.9667389988899231,0.9564643502235413,0.11456187814474106,0.9829545617103577,1.0
2,0.9400495290756226,0.159714475274086,0.9788937568664551,0.9725235104560852,0.9670184850692749,0.10151107609272003,0.9942196607589722,0.9942196607589722
3,0.9484723210334778,0.137300044298172,0.9819494485855103,0.9833694696426392,0.9656991958618164,0.09339158982038498,1.0,0.9826589822769165
4,0.9557390809059143,0.1273830384016037,0.9826964735984802,0.98553866147995,0.9577836394309998,0.09327670931816101,0.9885714054107666,1.0
5,0.9555739164352417,0.12223391234874725,0.9819754958152771,0.9848155975341797,0.9736147522926331,0.08239994198083878,1.0,1.0
6,0.9631709456443787,0.10596940666437149,0.987022340297699,0.9898771047592163,0.9736147522926331,0.07351233065128326,0.9885714054107666,1.0
7,0.9618496894836426,0.09928525984287262,0.9841840267181396,0.9898771047592163,0.9670184850692749,0.07786894589662552,1.0,0.9942196607589722
8,0.967795193195343,0.09071923792362213,0.990606963634491,0.9913232326507568,0.9670184850692749,0.10198453068733215,0.9885714054107666,1.0
9,0.9633361101150513,0.09325588494539261,0.9863407611846924,0.9920462965965271,0.9696570038795471,0.07696369290351868,0.9942528605461121,1.0
10,0.9682906866073608,0.0879213809967041,0.9913232326507568,0.9913232326507568,0.980211079120636,0.07100808620452881,1.0,1.0
11,0.9676300287246704,0.09251821041107178,0.9898697733879089,0.989154040813446,0.9683377146720886,0.09140763431787491,1.0,1.0
12,0.9699422121047974,0.08254581689834595,0.9913169145584106,0.9906001687049866,0.9749340415000916,0.07492216676473618,1.0,1.0
13,0.9709331393241882,0.07678209245204926,0.9906136989593506,0.9920462965965271,0.9749340415000916,0.06949323415756226,1.0,1.0
14,0.9707679748535156,0.07701299339532852,0.9934877157211304,0.9927693605422974,0.9617414474487305,0.1108497604727745,0.9942528605461121,1.0
15,0.9722543358802795,0.07664955407381058,0.9927641153335571,0.9920462965965271,0.9709762334823608,0.08023317903280258,0.9942528605461121,1.0
16,0.97539222240448,0.07072294503450394,0.9935017824172974,0.9949385523796082,0.9643799662590027,0.09589943289756775,1.0,1.0
17,0.9732452630996704,0.0723719522356987,0.9942238330841064,0.9956616163253784,0.9762532711029053,0.06437178701162338,1.0,1.0
18,0.9793559312820435,0.06161456182599068,0.9942154884338379,0.9942154884338379,0.9683377146720886,0.0742623507976532,0.9942528605461121,1.0
19,0.9775392413139343,0.06098862737417221,0.9942154884338379,0.9942154884338379,0.9749340415000916,0.08334290236234665,1.0,1.0
20,0.9778695106506348,0.06227152794599533,0.9949275255203247,0.9927693605422974,0.9788918495178223,0.06903596222400665,1.0,1.0
21,0.9793559312820435,0.061744529753923416,0.9956584572792053,0.9949385523796082,0.9736147522926331,0.08621592074632645,1.0,1.0
22,0.9791907668113708,0.05592174455523491,0.9971056580543518,0.9963846802711487,0.9709762334823608,0.10370103269815445,1.0,1.0
23,0.9783650040626526,0.051830362528562546,0.9935064911842346,0.9956616163253784,0.9670184850692749,0.08417081087827682,1.0,1.0
24,0.9813377261161804,0.049919549375772476,0.9963820576667786,0.9956616163253784,0.9775725603103638,0.07854345440864563,1.0,1.0
25,0.9785301685333252,0.05620243772864342,0.994232177734375,0.997107744216919,0.9696570038795471,0.09168685972690582,1.0,1.0
26,0.9796862006187439,0.05129237845540047,0.997107744216919,0.997107744216919,0.9815303683280945,0.050811510533094406,0.9942528605461121,1.0
27,0.9823286533355713,0.0487479642033577,0.9949458241462708,0.9963846802711487,0.9749340415000916,0.10007084161043167,0.9942528605461121,1.0
28,0.9829892516136169,0.045621149241924286,0.997107744216919,0.997107744216919,0.9762532711029053,0.07788337767124176,1.0,1.0
29,0.9821634888648987,0.046946000307798386,0.9971140027046204,0.9992769360542297,0.9788918495178223,0.0560879148542881,1.0,1.0
